x_mm,y_mm
-24.0,-27.712812921102035
-8.0,-27.712812921102035
8.0,-27.712812921102035
24.0,-27.712812921102035
-32.0,-13.856406460551018
-16.0,-13.856406460551018
0.0,-13.856406460551018
16.0,-13.856406460551018
32.0,-13.856406460551018
-40.0,0.0
-24.0,0.0
-8.0,0.0
8.0,0.0
24.0,0.0
40.0,0.0
-32.0,13.856406460551018
-16.0,13.856406460551018
0.0,13.856406460551018
16.0,13.856406460551018
32.0,13.856406460551018
-24.0,27.712812921102035
-8.0,27.712812921102035
8.0,27.712812921102035
24.0,27.712812921102035
