nozzle_id,x_mm,y_mm,z_mm
1,17.96146061829486,-1.1772563261425748,0.0
2,16.14370934758839,7.961196423942022,0.0
3,31.93148554363531,-2.0929001353645775,0.0
4,28.699927729046028,14.15323808700804,0.0
5,45.90151046897576,-3.00854394458658,0.0
6,41.256146110503664,20.345279750074056,0.0
7,1.1772563261425748,17.96146061829486,0.0
8,-7.96119642394202,16.14370934758839,0.0
9,2.0929001353645775,31.93148554363531,0.0
10,-14.153238087008036,28.699927729046028,0.0
11,3.00854394458658,45.90151046897576,0.0
12,-20.345279750074052,41.256146110503664,0.0
13,-17.96146061829486,1.1772563261425761,0.0
14,-16.143709347588388,-7.9611964239420265,0.0
15,-31.93148554363531,2.0929001353645798,0.0
16,-28.699927729046024,-14.153238087008047,0.0
17,-45.90151046897576,3.0085439445865836,0.0
18,-41.25614611050366,-20.345279750074067,0.0
19,-1.177256326142569,-17.96146061829486,0.0
20,7.9611964239420185,-16.14370934758839,0.0
21,-2.0929001353645673,-31.93148554363531,0.0
22,14.153238087008033,-28.699927729046028,0.0
23,-3.0085439445865654,-45.90151046897576,0.0
24,20.34527975007405,-41.256146110503664,0.0
